why,interesting,linkedinExperienceTitle,linkedinSearchResultUri,linkedInProfileUri,linkedInSearchQueryString
,,UX Engineer,https://www.linkedin.com/in/zachary-aman-091bb327/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=FcpUdrszTeG9PYFtD0fEfg%3D%3D,https://www.linkedin.com/in/zachary-aman-091bb327/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=FcpUdrszTeG9PYFtD0fEfg%3D%3D
,,UX Engineer,https://www.linkedin.com/in/richardadem/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=VgsGUeiNTw%2Bd087i8eez0w%3D%3D,https://www.linkedin.com/in/richardadem/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=VgsGUeiNTw%2Bd087i8eez0w%3D%3D
,x,UX Engineer,https://www.linkedin.com/in/justinsecor/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2FfMBt1O%2BSeqLczuMj9SIgw%3D%3D,https://www.linkedin.com/in/justinsecor/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2FfMBt1O%2BSeqLczuMj9SIgw%3D%3D
,,UX Engineer,https://www.linkedin.com/in/jxson/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=t%2B6%2Fp6otTviqYPrXU1gtFw%3D%3D,https://www.linkedin.com/in/jxson/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=t%2B6%2Fp6otTviqYPrXU1gtFw%3D%3D
,,UX Engineer,https://www.linkedin.com/in/jerryuen/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=ergfqA59TWq%2BAhtXEA6odw%3D%3D,https://www.linkedin.com/in/jerryuen/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3Bmv67i5rxRYOP9M86FOSzjA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=ergfqA59TWq%2BAhtXEA6odw%3D%3D
,,UX Engineer,https://www.linkedin.com/in/brenda-chung-53276817/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=Kd%2BNrTrGTTmdS7OTkW1CSQ%3D%3D,https://www.linkedin.com/in/brenda-chung-53276817/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=Kd%2BNrTrGTTmdS7OTkW1CSQ%3D%3D
,x,UX Engineer,https://www.linkedin.com/in/aziz-syed-0b895964/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=LW97mMN7RkGkFF8ZbydS8g%3D%3D,https://www.linkedin.com/in/aziz-syed-0b895964/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=LW97mMN7RkGkFF8ZbydS8g%3D%3D
,,UX Engineer,https://www.linkedin.com/in/yukotakagi/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=9o%2BWU2lASz2YHr3Z9aKtlA%3D%3D,https://www.linkedin.com/in/yukotakagi/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=9o%2BWU2lASz2YHr3Z9aKtlA%3D%3D
,x,UX Engineer,https://www.linkedin.com/in/paulocoelhoiam/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=1WqEftSsSbqGDQ%2FS9WwrRQ%3D%3D,https://www.linkedin.com/in/paulocoelhoiam/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=1WqEftSsSbqGDQ%2FS9WwrRQ%3D%3D
,,UX Engineer,https://www.linkedin.com/in/gbrassey/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=1PLxk0bMRmq2kOh9GrCCfw%3D%3D,https://www.linkedin.com/in/gbrassey/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=1PLxk0bMRmq2kOh9GrCCfw%3D%3D
